PWG,,fev1,fev1.pred
ATS24*1.0,0,3.93769689538,3.74982479363
ATS24*10.0,0,2.97832035812,3.02832722223
ATS24*16.0,0,3.66798847141,2.77545098644
ATS24*20.0,0,2.37610550504,2.7085101207
ATS24*21.0,0,3.38594363422,6.31330221113
ATS24*22.0,0,2.62774182216,2.69679155289
ATS24*23.0,0,1.19667886368,1.0568983261
ATS24*4.0,0,1.29514449105,1.06732641205
ATS24*6.0,0,3.06591922638,2.94910274564
ATS24*7.0,0,2.4711495526,2.35460843807
ATS24*8.0,0,1.60309805173,1.26357461615
ATS2610.0,0,1.96108379684,1.93192600063
ATS2613.0,0,2.22914590787,2.37922670252
ATS2614.0,0,2.17346640028,2.41894181968
ATS2616.0,0,2.14896852979,2.21157728873
ATS2619.0,0,2.81929134781,3.39638966374
ATS2620.0,0,4.47350610633,3.8794115684
ATS2622.0,0,1.55904016427,1.32137531766
ATS264.0,0,1.41412575315,1.31246767229
ATS265.0,0,2.02310135253,2.15131533072
ISO267821.0,0,4.54682791217,5.0428632715
ISO2678212.0,0,1.94782463393,1.96458578627
ISO267822.0,0,2.87605297002,3.37092781681
ISO267823.0,0,2.13730162314,2.41738095823
ISO267829.0,0,1.709656324,1.70184534912
